1568695476941357056,0,0,2022-09-10T20:18:41Z
1568695395752235009,0,1,2022-09-10T20:18:21Z
1568695261026983938,1,0,2022-09-10T20:17:49Z
1568695255834460160,0,2,2022-09-10T20:17:48Z
1568694647610036224,0,1,2022-09-10T20:15:23Z
1568694434103185408,0,0,2022-09-10T20:14:32Z
1568694187964665856,0,7,2022-09-10T20:13:33Z
1568694155454595075,0,1,2022-09-10T20:13:26Z
1568693830370852864,0,0,2022-09-10T20:12:08Z
1568693505991770113,0,0,2022-09-10T20:10:51Z
1568692895666040832,0,1,2022-09-10T20:08:25Z
1568692843618922497,0,1,2022-09-10T20:08:13Z
1568692745266659328,0,1,2022-09-10T20:07:50Z
1568692300276178951,0,4,2022-09-10T20:06:03Z
1568692261927649281,0,0,2022-09-10T20:05:54Z
1568691633390080002,0,0,2022-09-10T20:03:24Z
1568691439504072706,0,0,2022-09-10T20:02:38Z
1568691394985992192,0,0,2022-09-10T20:02:28Z
1568691346126376961,0,0,2022-09-10T20:02:16Z
1568690948397211650,0,1,2022-09-10T20:00:41Z
1568690735532363776,0,0,2022-09-10T19:59:50Z
1568689795043569664,0,6,2022-09-10T19:56:06Z
1568689710830129152,0,1,2022-09-10T19:55:46Z
1568689275025375232,0,1,2022-09-10T19:54:02Z
1568689139675176961,0,1,2022-09-10T19:53:30Z
1568688244916891649,0,0,2022-09-10T19:49:57Z
1568688146610794496,0,0,2022-09-10T19:49:33Z
1568688026963910658,0,0,2022-09-10T19:49:05Z
1568687493062737922,1,11,2022-09-10T19:46:57Z
1568687292931260419,0,15,2022-09-10T19:46:10Z
1568686849853464578,0,1,2022-09-10T19:44:24Z
1568686636791398403,5,33,2022-09-10T19:43:33Z
1568686623831003136,0,0,2022-09-10T19:43:30Z
1568686607640961024,8,25,2022-09-10T19:43:26Z
1568686054529716234,0,0,2022-09-10T19:41:14Z
1568685937647054850,0,1,2022-09-10T19:40:46Z
1568685932957548548,0,1,2022-09-10T19:40:45Z
1568685217820602369,0,0,2022-09-10T19:37:55Z
1568685210358763520,0,2,2022-09-10T19:37:53Z
1568685112929447936,0,1,2022-09-10T19:37:30Z
1568685022630100993,1,3,2022-09-10T19:37:08Z
1568684395179147265,0,0,2022-09-10T19:34:39Z
1568684262483984385,0,0,2022-09-10T19:34:07Z
1568684221836980224,0,1,2022-09-10T19:33:57Z
1568683702397566978,5,12,2022-09-10T19:31:54Z
1568682840748965889,0,5,2022-09-10T19:28:28Z
1568682705046622209,0,2,2022-09-10T19:27:56Z
1568682544530624512,0,1,2022-09-10T19:27:17Z
1568682481196441602,0,0,2022-09-10T19:27:02Z
1568682325428555776,0,0,2022-09-10T19:26:25Z
1568682286618402816,0,0,2022-09-10T19:26:16Z
1568681820341915648,0,0,2022-09-10T19:24:25Z
1568681673352695809,1,0,2022-09-10T19:23:50Z
